kume	claim	source_ids	bib_key	bulgu_ankraj	population_fit	measurement_fit	fulltext_locator	iliski	confidence
C1	Kronik fiziksel hastalığı olan gençlerin ailelerinde ebeveyn-çocuk ilişkisi çok küçük ölçüde daha az olumludur (g=-0,16), düşük sıcaklık (g=-0,22), yüksek aşırı koruma (g=0,39) ve kontrol (g=0,18) eşlik eder; etkiler çoğunlukla küçüktür ve hastalığa göre değişir.	DOI:10.1093/jpepsy/jst020; PMID:23660152	pinquart2013	apa_t06/t07; CSR#h1-karar	direct — kronik fiziksel hastalıklı çocuk/ergenler (325 çalışma), T1DM bu şemsiye içinde	partial — Pinquart boyutları sıcaklık(-)/aşırı koruma/kontrol; EMBU-C reddetme ≈ düşük sıcaklık kutbu, ayrık 'reddetme' boyutu Pinquart'ta yok; asıl transfer küçük-etki bandının kendisi (g≈0,13-0,39)	abstract-only (JPP özeti tüm g değerlerini verir; tam metne gerek yok)	benzer	high
C1	Kronik fiziksel hastalığı olan gençler sağlıklı akranlarından daha yüksek içselleştirme sorunu bildirir (g=0,47) ve bu fark en büyük ebeveyn raporlarında, en zayıf ise ergen öz-bildirimlerinde görülür.	DOI:10.1093/jpepsy/jsr042; PMID:21810623	YENI:pinquart2011behaviorProblems	apa_t06/t07; CSR#h1-karar	direct — kronik fiziksel hastalıklı çocuk/ergenler (569 çalışma, CBCL/YSR/TRF)	partial — çıktı içselleştirme (davranış problemi); tezin çıktısı EMBU-C reddetme algısı, ancak rater moderasyonu (ebeveyn>öz-bildirim) doğrudan bilgi-verici ayrışmasını kanıtlar	abstract-only (özet g=0,47 + rater moderasyonunu verir)	benzer	high
C1	Kültürler-arası 43 çalışmalık meta-analiz, algılanan ebeveyn reddinin çocuklarda psikolojik uyumsuzlukla evrensel ve güçlü biçimde ilişkili olduğunu göstermiştir (ağırlıklı ortalama r=0,51 çocuklar, r=0,46 yetişkinler; istisnasız tüm çalışmalarda).	DOI:10.1111/j.1741-3737.2002.00054.x; OpenAlex:W2029696987	YENI:khaleque2002parqMeta	apa_t06/t07; CSR#h1-karar	partial — genel kültürler-arası örneklem (PARQ/PAQ), kronik hastalık-özgül değil	direct — algılanan reddetme yapısı (PARTheory personality subtheory) EMBU-C reddetme ile kavramsal olarak örtüşür	abstract-only (OpenAlex abstract: r=0,51 çocuklar / r=0,46 yetişkinler doğrulandı)	bosluk-doldurur	high
C1	Ebeveyn Kabul-Red Kuramı (PARTheory), algılanan reddin gender/ırk/dil/kültürden bağımsız olarak düşmanlık, olumsuz benlik-değeri, olumsuz dünya görüşü ve duygusal istikrarsızlık içeren tanımlı bir uyumsuzluk sendromunu evrensel biçimde öngördüğünü savunur.	DOI:10.1037/0003-066x.59.8.830	rohner2004parAcceptance	apa_t06/t07; CSR#h1-karar	partial — kuramsal/pankültürel çerçeve, hastalık-özgül değil	direct — kabul-red kutbu EMBU-C reddetme alt ölçeğinin kuramsal dayanağıdır	abstract-only (kuramsal önerme; sayısal endpoint gerekmez)	bosluk-doldurur	high
C1	Çocuk psikopatolojisi değerlendirmesinde bilgi-vericiler (ebeveyn/çocuk/öğretmen) arasındaki tutarsızlıklar sistematik ve anlamlıdır; Atıf-Yanlılığı Bağlam Modeli her bilgi-vericinin kendi bağlamında geçerli bilgi taşıdığını, dolayısıyla çocuğun kendi red algısının çocuk-içselleştirme için birincil ölçüt olduğunu ortaya koyar.	DOI:10.1037/0033-2909.131.4.483; PMID:16060799	YENI:deLosReyesKazdin2005	apa_t06/t07; CSR#h1-karar	direct — çocuk/ergen ruh sağlığı çok-bilgi-verici değerlendirmesi	direct — bilgi-verici ayrışması metodolojisi; tezin çocuk-raporunu birincil kılma gerekçesini temellendirir	abstract-only (ABC modeli niteliksel çerçeve)	bosluk-doldurur	high
C1	Çok-bilgi-verici yaklaşım meta-analizi, farklı raporların düşük-orta uyumunun ölçüm hatası değil bağlam-özgül gerçek varyans olduğunu gösterir; bu, çocuğun kendi ebeveyn-tutum algısının kendi ayarlaması için ayrı ve geçerli bir kaynak olduğunu doğrular.	DOI:10.1037/a0038498	deLosReyes2015	apa_t06/t07; CSR#h1-karar	direct — çocuk/ergen ruh sağlığı değerlendirmesi (Psychological Bulletin meta)	direct — çok-bilgi-verici geçerlik; aile-içi ICC≈0,14 (ebeveyn-çocuk ayrışması) ile örtüşür	abstract-only (çok-bilgi-verici geçerlik ilkesi)	bosluk-doldurur	high
C1	1.015 çalışmalık meta-analizde düşük sıcaklık ve otonomi tanıma içselleştirme ile çok küçük-küçük negatif; sert kontrol, psikolojik kontrol ve otoriter/ihmalkâr ebeveynlik ise pozitif ilişkilidir — reddedici tarzda ebeveynliğin içselleştirmeyle bağı genel örneklemde de küçüktür.	DOI:10.1080/01494929.2016.1247761; OpenAlex:W2531290471	YENI:pinquart2016internalizing	apa_t06/t07; CSR#h1-karar	partial — genel çocuk/ergen popülasyonu, kronik hastalık-özgül değil	partial — sıcaklık/kontrol boyutları içselleştirme ile; reddetme ≈ düşük sıcaklık + sert kontrol; kesin reddetme-boyutu r'si özette verilmez ('çok küçük-küçük')	abstract-only (OpenAlex abstract: yön + 'very small to small' büyüklük tanımlayıcısı; kesin r uydurulmadı)	benzer	moderate
C1	Türkiye'de Tip 1 diyabetli ergenlerde psikopatoloji, yaşam kalitesi ve ebeveyn tutumları birlikte değerlendirilmiş; bu grup kontrol/norma kıyasla ebeveyn tutumu ve ruhsal uyum açısından risk sinyalleri göstermiştir.	DOI:10.5152/npa.2015.7248; PMID:28360693	sahin2015parentalAttitude	apa_t06/t07; CSR#h1-karar	direct — Türkiye T1DM ergen örneklemi (aynı ülke/klinik bağlam)	partial — ebeveyn tutumu ölçeği (PARI tipi) kullanır; EMBU-C reddetme boyutu değil, kavramsal örtüşme kısmi	abstract-only + tam metin erişilebilir (PMC5353187) — kritik endpoint için gerekmedi	benzer	moderate
C1	Kısaltılmış EMBU Çocuk Formu'nun (s-EMBU-C/KAET-Ç) Türkçe uyarlaması güvenirlik ile eş zamanlı, birleşen ve ölçüt geçerliği kanıtları taşır; reddetme alt ölçeği Türk çocuklarında psikometrik olarak kullanılabilirdir.	bib-only:dirik2015sEmbuTurkish (DOI/PMID/OpenAlex yok; turkpsikiyatri C26S2/06 PDF — atıf-kapısında kimlik doğrulanacak)	dirik2015sEmbuTurkish	apa_t06/t07; CSR#h1-karar	partial — Türk çocuk örneklemi (genel), klinik/T1DM değil	direct — tezin EMBU-C reddetme aracının Türkçe psikometrik dayanağı; graded-response latent doğrulamayı destekler	abstract-only (Türk Psikiyatri Dergisi; PDF açık: turkpsikiyatri.com/PDF/C26S2/06.pdf) — DOI'siz kaynak, OpenAlex/Semantic Scholar ile künye doğrulanmadı; bkz. gap_log	benzer	low
C2	İstatistiksel anlamsızlık tek başına etki yokluğu kanıtı değildir; Bayes faktörü ile eşdeğerlik (TOST) testlerinin birlikte kullanımı, anlamlı bir etkinin yokluğunu pozitif olarak doğrulamanın uygun yoludur — H3'te BF₁₀ 'orta H0' + TOST 'Equivalent' + ROPE üçlemesinin tam da bu çerçeveye oturması bulgunun metodolojik meşruiyetini sağlar.	DOI:10.1093/geronb/gby065; OpenAlex:W2803536098; PMID:29878211	YENI:lakens2018nullBF	apa_t10; apa_t11; CSR#h3-karar	indirect — genel psikoloji metodoloji makalesi, popülasyon-bağımsız çıkarım çerçevesi	indirect — ölçek-bağımsız; null etki çıkarım yöntemi (BF+eşdeğerlik) doğrudan H3 karar mimarisiyle örtüşür	abstract-only (yöntem iddiası abstract düzeyinde yeterli)	bosluk-doldurur	high
