date,tool,model,purpose,data_type,contains_raw_data,contains_identifiable_data,external_api_used,output_summary,researcher_decision
2026-06-30,Codex,GPT-5,Niteliksel çalışma mevcut durum ve eksik denetimi,"repo metadata, tracker, methodology documents, cleaned thesis text",no,no,no,COREQ ön-denetimi ve mevcut durum/yapılacaklar değerlendirmesi üretildi,Araştırmacı değerlendirmesi bekleniyor
2026-06-30,Codex,GPT-5,Niteliksel depo tutarlılık ve COREQ ön-denetimi,anonimleştirilmiş tez yöntem/bulgular metni ve metodoloji dokümanları,no,no,no,Yöntem anlatısı sadeleştirildi; COREQ ön-denetimi missing=0 oldu; pilot test ve negatif/farklı vaka raporlaması araştırmacı kararı gerektiren geliştirme alanları olarak korundu,
2026-06-30,Codex,GPT-5,Codebook v3 ve negatif vaka Faz B hazırlığı,"anonimleştirilmiş codebook, metodoloji ve temizlenmiş tez metni",no,no,no,Codebook v3 CSV taslağı oluşturuldu; placeholder quote_id uyarıları linter'a eklendi; negatif/farklı vaka inceleme planı ve audit trail ara güncellemesi yazıldı,
2026-06-30,Codex,GPT-5,Triadik odak aile doğrulaması ve güvenli CSV şablonları,"triadik matris DOCX başlıkları, codebook ve metodoloji raporları",no,no,no,J2.1/J2.2/J3.3/J5.4 odak aileleri doğrulandı; eski code ID aktif notlarda düzeltildi; coded_segments ve quotes_used şablonları eklendi,
2026-06-30,Codex,GPT-5,"Blokaj çözümleme: quote_id, coded_segments ve denetim çıktıları",temizlenmiş tez metnindeki anonimleştirilmiş seçilmiş alıntılar,no,no,no,"quotes_used.csv, coded_segments.csv, triadik matris, alıntı bütünlüğü raporu ve Tema 4 negatif vaka ön-tarama raporu üretildi; beş codebook kodu için gerçek quote_id araştırmacı kararına bırakıldı",
2026-06-30,promptfoo_grok,grok-4.3,AI reliability golden-case regression,repo_policy_prompts_only,no,no,yes,Grok promptfoo gate 4/4 passed; no raw transcript content sent,
2026-06-30,Codex,GPT-5,Niteliksel kanonik sonuç raporu oluşturma ve doktoratezi entegrasyon kopyası,anonimleştirilmiş temizlenmiş nitel analiz çıktıları ve quote_id düzeyi kanıt haritası,no,no,no,Tez yazımında kullanılmak üzere qualitative_canonical_results_for_doktoratezi.md oluşturuldu; doktoratezi/docs/niteliksel altında güvenli kopya üretildi; ham alıntı metni dahil edilmedi,
2026-06-30,Codex,GPT-5,Niteliksel kanonik bilimsel sonuç raporu v2.0 genişletme,"anonimleştirilmiş temizlenmiş nitel analiz çıktıları, metodoloji belgeleri, COREQ ve quote_id düzeyi kanıt haritası",no,no,no,"qualitative_canonical_results_for_doktoratezi.md raporu metodoloji, codebook, tema mimarisi, alt-tema sonuçları, trustworthiness, KVKK/AI sınırı, negatif vaka ve karma tez entegrasyonu dahil 658 satırlık geniş kanonik rapora dönüştürüldü; doktoratezi kopyası eşitlendi",
2026-06-30,Codex,GPT-5,AI reliability kontrolü: niteliksel kanonik sonuç raporu,"anonimleştirilmiş kanonik sonuç raporu, quote_id düzeyi kanıt haritası ve yerel denetim raporları",no,no,no,"Kanonik sonuç raporu sayı, quote_id, code_id, COREQ, gizlilik, kopya eşitliği ve reliability gate kontrollerinden geçirildi; test sayısı ve nedensellik dili düzeltildi; kalan beş codebook placeholder quote_id araştırmacı kararına bırakıldı",Araştırmacı final tez entegrasyonunda doğrudan alıntıları kaynak metinle bire bir kontrol etmeli
2026-07-01,Codex + Evidentia/PubMed/Anna/Zotero,GPT-5 Codex,"GİRİŞ ve AMAÇ bölümü dış kaynak doğrulama, tam metin kapısı, kaynakça ve ledger güncellemesi",anonim/turetilmis,no,no,yes,Dört dış referans DOI/PMID düzeyinde doğrulandı; Anna/PubMed tam metin kapıları kaydedildi; Zotero item bulunmadığı için import onayı bekletildi; ham veri veya transkript kullanılmadı.,
