code_id,code_name,definition,include_criteria,exclude_criteria,example_quote_id,theme,subtheme,memo,version,date
TANI_SOK_KORKU,Tanı şoku ve korku,"Tanı anı veya ilk dönemde yoğun korku, şok, belirsizlik ve aile düzeninin sarsılmasıyla ilgili anlatıları kapsar.","Tanı anı, ilk öğrenme, ilk belirsizlik ve akut korku ifadeleri.",Daha sonraki dönemlerdeki rutin kaygı ve sürekli tetikte olma anlatıları.,020_mother_q001,T2; T3; T1,J2.1; T2.1; T3 girişi; T1 çapraz,v1 tanımı korundu; v2 mapping ile üç perspektife bağlandı. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
TANI_HASTANE_SURECI,Hastane ve ilk tedavi süreci,"Hastaneye yatış, ilk tedavi eğitimi, ilk insülin/ölçüm uygulamaları ve sağlık personeliyle ilk temas deneyimlerini kapsar.","Servis/yatış süreci, ilk eğitim, ilk ölçüm ve ilk insülin uygulaması anlatıları.",Rutin poliklinik kontrolleri veya teknoloji kullanımına ilişkin sonraki dönem anlatıları.,026_t1dm_child_q005,T2; T3,J1.3; T2.1; T3.2,Anne ve hasta çocuk anlatılarında izlenir; quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
TANI_BILGI_ARAYISI,Bilgi arayışı,"Tanı sonrası dönemde sağlık ekibi, internet, çevre veya diğer kaynaklardan diyabet yönetimine ilişkin bilgi arama ve öğrenme çabasını kapsar.","Araştırma, soru sorma, eğitim alma ve ne yapılacağını öğrenmeye çalışma anlatıları.",Duygusal destek arayışı veya sağlık ekibiyle güven ilişkisi anlatıları.,RESEARCHER_TO_ASSIGN_TANI_BILGI_ARAYISI,T2,J5.2; J2.4; T2.1,Anne merkezli kod; destek ekosistemiyle kesişebilir. Gerçek quote_id araştırmacı tarafından atanacak.,v3-draft,2026-06-30
RUTIN_TAKIP,Takip rutini,"Günlük kan şekeri ölçümü, insülin, doz ayarı, kayıt tutma ve süreklilik gerektiren diyabet yönetimi işlerini kapsar.","Ölçüm, insülin, doz ayarı, kayıt, takip ve gündelik yönetim ifadeleri.",Yalnızca beslenme düzeni veya yalnızca sosyal etkinlik kısıtları.,019_mother_q001,T2; T3; T4,J1.2; J1.3; T2.2; T3.2; T4.1,Cross-cutting kod; Tema 4 için aile-içi karşılaştırma girdisi. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
BESLENME_KONTROL,Beslenme kontrolü,"Diyet, karbonhidrat sayımı, yasaklar, ortak yeme düzeni ve ev içi tüketim pratiklerinin diyabet nedeniyle yeniden düzenlenmesini kapsar.","Diyet, yasak, karbonhidrat, evde ortak yeme düzeni ve kısıtlanan yiyecek anlatıları.",Okul/sosyal etkinlik düzenlemeleri veya cihaz/teknoloji anlatıları.,014_mother_q006,T1; T2; T3; T4,J1.1; T1.1; T2.2; T3.2; T4.1,En yaygın çapraz kodlardan biri; tüm perspektiflerde izlenir. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
GECE_TAKIP,Gece uyanıklığı ve hipoglisemi izlemi,"Gece ölçümü, alarm, uyku bölünmesi ve gece hipoglisemi olasılığı etrafındaki izlem yükünü kapsar.","Gece kalkma, gece ölçme, alarm, uyku bölünmesi ve gece risk izlemi anlatıları.",Gündüz rutin takip veya genel kaygı anlatıları.,RESEARCHER_TO_ASSIGN_GECE_TAKIP,T2; T1,J2.2; T2.2; T1.2,Anne merkezli olmakla birlikte kardeşin nöbetçi rolüne bağlanabilir. Gerçek quote_id araştırmacı tarafından atanacak.,v3-draft,2026-06-30
OKUL_SOSYAL_UYUM,Okul ve sosyal uyum,"Okulda diyabet yönetimi, öğretmen/arkadaş ilişkileri, geziler, etkinlikler ve sosyal yaşamda düzenleme gerektiren durumları kapsar.","Okulda ölçüm/insülin, öğretmen desteği, gezi, oyun, etkinlik ve sosyal uyum anlatıları.",Ev içi rutin veya yalnızca beslenme kontrolü anlatıları.,201_t1dm_child_q003,T3; T1,J4.4; T3.4; T1 boyut 2,"Hasta, kardeş ve anne perspektiflerinde farklı düzeylerde izlenir. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.",v3-draft,2026-06-30
TEKNOLOJI_DESTEGI,Teknoloji desteği,"Sensör, pompa, uygulama veya cihazların diyabet yönetiminde güven, rahatlama, bağımlılık ya da erişim yükü oluşturmasını kapsar.","Cihaz kullanımı, sensör/pompa, teknolojiyle rahatlama veya teknolojiye bağlı izlem anlatıları.",Cihaz belirtilmeyen genel takip anlatıları.,026_mother_q006,T2; T3,J5.3; T2.2; T3 çapraz,Teknoloji rahatlatıcı ve yapısal erişim boyutlarıyla birlikte okunmalı. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
KAYGI_KIRILGANLIK,Süreğen kaygı ve kırılganlık,"Tanı sonrası süreklilik kazanan endişe, kırılganlık hissi, bir şey olacak beklentisi ve tetikte olma anlatılarını kapsar.","Kaygı, panik, endişe, kırılganlık ve olası kriz beklentisi ifadeleri.",Yalnızca tanı anındaki akut şok veya yalnızca teknik takip rutini.,020_mother_q002,T1; T2; T3,J2.3; J2.4; T2.3; T1 çapraz; T3 çapraz,Tüm perspektiflerde izlenir; Tema 4.2 ile güçlü bağlantısı var. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
SUCLULUK,Suçluluk,"Anne veya kardeşin hastalık, bakım düzeni ya da kendi tepkileri karşısında kendini sorumlu tutma anlatılarını kapsar.","Anne suçluluğu, kardeş suçluluğu, kendini sorumlu görme ve pişmanlık anlatıları.","Üzüntü, kaygı veya empati içerse de sorumluluk yüklemeyen ifadeler.",014_mother_q001,T2; T1,J2.1; T2.1; T1 çapraz,Anne çekirdek kodu; kardeş anlatılarında ikincil olarak izlenebilir. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
OFKE_ADALETSIZLIK,Öfke ve adaletsizlik,"Hastalığa, aile içi ilgi dağılımına, kısıtlanmaya veya eşitsizlik algısına yönelen öfke ve adaletsizlik anlatılarını kapsar.","Öfke, adaletsizlik, eşitsizlik, kısıtlanma ve hakkaniyet gerilimi ifadeleri.",Yalnızca üzüntü veya yalnızca rutin yönetim yükü anlatıları.,019_mother_q006,T1; T4,J3.1; J3.2; J3.3; T1.3; T4.3,Kardeş anlatısı merkezli; hasta ve anne yan anlatılarıyla birlikte okunmalı. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
KABULLENME_NORMALLESME,Kabullenme ve normalleşme,"Zamanla alışma, diyabeti gündelik hayatın parçası haline getirme ve hastalıkla yaşamı normalleştirme anlatılarını kapsar.","Alışma, rutine oturma, normalleşme ve gündelik hayatın sürdürülmesi ifadeleri.","Aktif direnç, çatışma veya yalnızca yük/kısıtlılık anlatıları.",026_t1dm_child_q002,T3; T2,J4.1; T3.1; T2 çapraz,Hasta merkezli; anne dayanıklılık anlatılarıyla kesişebilir. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
YARAR_BULMA_OLGUNLASMA,Yarar bulma ve olgunlaşma,"Diyabet deneyimiyle birlikte sorumluluk, empati, olgunlaşma veya olumlu anlam çıkarma anlatılarını kapsar.","Olgunlaşma, sorumluluk kazanma, empati geliştirme ve olumlu anlamlandırma ifadeleri.","Yalnızca yük, kısıtlılık veya kayıp anlatıları.",RESEARCHER_TO_ASSIGN_YARAR_BULMA_OLGUNLASMA,T1; T3; T2,J4.1; T1.2; T3.4; T2 çapraz,Tüm perspektiflerde farklı yoğunlukta izlenebilir. Gerçek quote_id araştırmacı tarafından atanacak.,v3-draft,2026-06-30
ANNE_HIPERVIJILANS,Anne hipervijilansı,"Annenin çocuğu sürekli izleme, kontrol etme, bırakmakta zorlanma ve riskleri önceden yönetme anlatılarını kapsar.","Sürekli kontrol, tetikte olma, bırakmakta zorlanma ve güvenlik davranışları.",Genel kaygı var ancak somut kontrol/izlem davranışı yoksa KAYGI_KIRILGANLIK düşünülmelidir.,011_t1dm_child_q003,T2,J6.4; J2.2; T2.2,Anne çekirdek kodu; kardeş gözetmen varyantı ayrı aday kod olarak değerlendirilebilir. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
COCUK_OZERKLIK_OZBAKIM,Çocuk özerkliği ve öz-bakım,"T1DM tanılı çocuğun diyabet yönetiminde sorumluluk alma, özerklik isteme veya ebeveyn kontrolüyle gerilim yaşama anlatılarını kapsar.","Kendi ölçüm/insülin sorumluluğu, özerklik isteği, anneyle kontrol gerilimi ve öz-bakım ifadeleri.",Okul uyumu veya yalnızca sosyal çevre anlatıları.,014_mother_q004,T3; T2,J6.1; J6.2; J6.3; T3.4; T2.4,Hasta-anne kontrol/özerklik müzakeresi için ana kod. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
KARDES_GORUNMEZ_YUK,Kardeşin görünmeyen yükü,"Sağlıklı kardeşin geri planda kalma, duygusal yük taşıma, fedakarlık yapma veya kendi ihtiyaçlarını erteleme anlatılarını kapsar.","Görülmeme, fedakarlık, ihmal duygusu, duygusal yük ve kardeşin kendi ihtiyaçlarını geri çekmesi.",Genel kardeş ilişkisi değişimi veya yalnızca olumlu yakınlaşma anlatıları.,019_healthy_sibling_q001,T1,J3.3; J6.4; T1.1; T1.2; T1.3,T1'in çekirdek kodu; koruyucu/nöbetçi rol ayrı kod adayı olarak izlenecek. Gerçek quote_id araştırmacı tarafından atanacak. Example quote_id auto-linked from cleaned thesis; researcher should verify source fit.,v3-draft,2026-06-30
